behaviour	b ə h ɛ́j v j ə
behind	b ə h ɑ́j n d
being	b ɪ́j ɪ ŋ
belief	b ə l ɪ́j f
believe	b ə l ɪ́j v
bell	b ɛ́ l
belong	b ə l ɔ́ ŋ
below	b ə l ə́w
belt	b ɛ́ l t
bend	b ɛ́ n d
benefit	b ɛ́ n ɪ f ɪ t
bent	b ɛ́ n t
best	b ɛ́ s t
bet	b ɛ́ t
better	b ɛ́ t ə
between	b ə t w ɪ́j n
beyond	b ɪj ɔ́ n d
bicycle	b ɑ́j s ɪ k ə l
big	b ɪ́ g
bike	b ɑ́j k
bill	b ɪ́ l
billion	b ɪ́ l j ə n
bin	b ɪ́ n
biology	b ɑj ɔ́ l ə dʒ ɪj
bird	b ə́ː d
birth	b ə́ː θ
birthday	b ə́ː θ d ɛj
biscuit	b ɪ́ s k ɪ t
bit	b ɪ́ t
bite	b ɑ́j t
bitter	b ɪ́ t ə
black	b l á k
blame	b l ɛ́j m
blank	b l á ŋ k
blind	b l ɑ́j n d
block	b l ɔ́ k
blog	b l ɔ́ g
blonde	b l ɔ́ n d
blood	b l ʌ́ d
blow	b l ə́w
blue	b l ʉ́w
board	b óː d
boat	b ə́w t
body	b ɔ́ d ɪj
boil	b ój l
bomb	b ɔ́ m
bond	b ɔ́ n d
bone	b ə́w n
book	b ɵ́ k
boot	b ʉ́w t
border	b óː d ə
bored	b óː d
boring	b óː r ɪ ŋ
born	b óː n
borrow	b ɔ́ r əw
boss	b ɔ́ s
both	b ə́w θ
bother	b ɔ́ ð ə
bottle	b ɔ́ t ə l
bottom	b ɔ́ t ə m
bowl	b ə́w l
box	b ɔ́ k s
boy	b ój
boyfriend	b ój f r ɛ n d
brain	b r ɛ́j n
branch	b r ɑ́ː n tʃ
brand	b r á n d
brave	b r ɛ́j v
bread	b r ɛ́ d
break	b r ɛ́j k
breakfast	b r ɛ́ k f ə s t
breast	b r ɛ́ s t
breath	b r ɛ́ θ
breathe	b r ɪ́j ð
breathing	b r ɪ́j ð ɪ ŋ
bride	b r ɑ́j d
bridge	b r ɪ́ dʒ
brief	b r ɪ́j f
bright	b r ɑ́j t
brilliant	b r ɪ́ l j ə n t
bring	b r ɪ́ ŋ
broad	b r óː d
broadcast	b r óː d k ɑː s t
broken	b r ə́w k ə n
brother	b r ʌ́ ð ə
brown	b r áw n
brush	b r ʌ́ ʃ
bubble	b ʌ́ b ə l
budget	b ʌ́ dʒ ɪ t
build	b ɪ́ l d
building	b ɪ́ l d ɪ ŋ
bullet	b ɵ́ l ɪ t
bunch	b ʌ́ n tʃ
burn	b ə́ː n
bury	b ɛ́ r ɪj
bus	b ʌ́ s
bush	b ɵ́ ʃ
business	b ɪ́ z n ə s
businessman	b ɪ́ z n ə s m ə n
busy	b ɪ́ z ɪj
but	b ə t
but	b ʌ́ t
butter	b ʌ́ t ə
button	b ʌ́ t ə n
buy	b ɑ́j
by	b ɑ́j
bye	b ɑ́j
cable	k ɛ́j b ə l
cake	k ɛ́j k
calculate	k á l k j ə l ɛj t
call	k óː l
calm	k ɑ́ː m
camera	k á m r ə
camp	k á m p
campaign	k a m p ɛ́j n
camping	k á m p ɪ ŋ
campus	k á m p ə s
can	k á n
can	k ə n
cancel	k á n s ə l
cancer	k á n s ə
candidate	k á n d ɪ d ə t
cannot	k á n ɔ t
cap	k á p
capable	k ɛ́j p ə b ə l
capacity	k ə p á s ə t ɪj
capital	k á p ɪ t ə l
captain	k á p t ɪ n
capture	k á p tʃ ə
car	k ɑ́ː
card	k ɑ́ː d
care	k ɛ́ː
career	k ə r ɪ́ː
careful	k ɛ́ː f ə l
carefully	k ɛ́ː f ə l ɪj
careless	k ɛ́ː l ə s
carpet	k ɑ́ː p ɪ t
carrot	k á r ə t
carry	k á r ɪj
cartoon	k ɑː t ʉ́w n
case	k ɛ́j s
cash	k á ʃ
cast	k ɑ́ː s t
castle	k ɑ́ː s ə l
cat	k á t
catch	k á tʃ
category	k á t ɪ g ə r ɪj
cause	k óː z
CD	s ɪ́j d ɪ́j
ceiling	s ɪ́j l ɪ ŋ
celebrate	s ɛ́ l ɪ b r ɛj t
celebration	s ɛ́ l ɪ b r ɛ́j ʃ ə n
celebrity	s ɪ l ɛ́ b r ə t ɪj
cell	s ɛ́ l
cent	s ɛ́ n t
central	s ɛ́ n t r ə l
centre	s ɛ́ n t ə
century	s ɛ́ n tʃ ə r ɪj
ceremony	s ɛ́ r ɪ m ə n ɪj
certain	s ə́ː t ə n
certainly	s ə́ː t ə n l ɪj
chain	tʃ ɛ́j n
chair	tʃ ɛ́ː
chairman	tʃ ɛ́ː m ə n
challenge	tʃ á l ə n dʒ
champion	tʃ á m p ɪj ə n
chance	tʃ ɑ́ː n s
change	tʃ ɛ́j n dʒ
channel	tʃ á n ə l
chapter	tʃ á p t ə
character	k á r ə k t ə
characteristic	k á r ə k t ə r ɪ́ s t ɪ k
charge	tʃ ɑ́ː dʒ
charity	tʃ á r ə t ɪj
chart	tʃ ɑ́ː t
chat	tʃ á t
cheap	tʃ ɪ́j p
cheat	tʃ ɪ́j t
check	tʃ ɛ́ k
cheerful	tʃ ɪ́ː f ə l
cheese	tʃ ɪ́j z
chef	ʃ ɛ́ f
chemical	k ɛ́ m ɪ k ə l
chemistry	k ɛ́ m ɪ s t r ɪj
chest	tʃ ɛ́ s t
chicken	tʃ ɪ́ k ɪ n
chief	tʃ ɪ́j f
child	tʃ ɑ́j l d
childhood	tʃ ɑ́j l d h ɵ d
chip	tʃ ɪ́ p
chocolate	tʃ ɔ́ k l ə t
choice	tʃ ój s
choose	tʃ ʉ́w z
church	tʃ ə́ː tʃ
cigarette	s ɪ́ g ə r ɛ́ t
cinema	s ɪ́ n ə m ɑː
circle	s ə́ː k ə l
circumstance	s ə́ː k ə m s t a n s
cite	s ɑ́j t
citizen	s ɪ́ t ɪ z ə n
city	s ɪ́ t ɪj
civil	s ɪ́ v ə l
claim	k l ɛ́j m
class	k l ɑ́ː s
classic	k l á s ɪ k
classical	k l á s ɪ k ə l
classroom	k l ɑ́ː s r ʉw m
clause	k l óː z
clean	k l ɪ́j n
clear	k l ɪ́ː
clearly	k l ɪ́ː l ɪj
clever	k l ɛ́ v ə
click	k l ɪ́ k
client	k l ɑ́j ə n t
climate	k l ɑ́j m ə t
climb	k l ɑ́j m
clock	k l ɔ́ k
close	k l ə́w s
close	k l ə́w z
closed	k l ə́w z d
closely	k l ə́w s l ɪj
cloth	k l ɔ́ θ
clothes	k l ə́w ð z
clothing	k l ə́w ð ɪ ŋ
cloud	k l áw d
club	k l ʌ́ b
clue	k l ʉ́w
coach	k ə́w tʃ
coal	k ə́w l
coast	k ə́w s t
coat	k ə́w t
code	k ə́w d
coffee	k ɔ́ f ɪj
coin	k ój n
cold	k ə́w l d
collapse	k ə l á p s
colleague	k ɔ́ l ɪj g
collect	k ɔ́ l ɛ k t
collect	k ə l ɛ́ k t
collection	k ə l ɛ́ k ʃ ə n
college	k ɔ́ l ɪ dʒ
colour	k ʌ́ l ə
coloured	k ʌ́ l ə d
column	k ɔ́ l ə m
combination	k ɔ́ m b ɪ n ɛ́j ʃ ə n
combine	k ɔ́ m b ɑj n
combine	k ə m b ɑ́j n
come	k ʌ́ m
comedy	k ɔ́ m ə d ɪj
comfort	k ʌ́ m f ə t
comfortable	k ʌ́ m f t ə b ə l
command	k ə m ɑ́ː n d
comment	k ɔ́ m ɛ n t
commercial	k ə m ə́ː ʃ ə l
commission	k ə m ɪ́ ʃ ə n
commit	k ə m ɪ́ t
commitment	k ə m ɪ́ t m ə n t
committee	k ə m ɪ́ t ɪj
common	k ɔ́ m ə n
commonly	k ɔ́ m ə n l ɪj
communicate	k ə m j ʉ́w n ɪ k ɛj t
communication	k ə m j ʉ́w n ɪ k ɛ́j ʃ ə n
community	k ə m j ʉ́w n ə t ɪj
company	k ʌ́ m p ə n ɪj
compare	k ə m p ɛ́ː
comparison	k ə m p á r ɪ s ə n
compete	k ə m p ɪ́j t
competition	k ɔ́ m p ə t ɪ́ ʃ ə n
competitive	k ə m p ɛ́ t ə t ɪ v
competitor	k ə m p ɛ́ t ɪ t ə
complain	k ə m p l ɛ́j n
complaint	k ə m p l ɛ́j n t
complete	k ə m p l ɪ́j t
completely	k ə m p l ɪ́j t l ɪj
complex	k ɔ́ m p l ɛ k s
complicated	k ɔ́ m p l ɪ k ɛj t ɪ d
component	k ə m p ə́w n ə n t
computer	k ə m p j ʉ́w t ə
concentrate	k ɔ́ n s ə n t r ɛj t
concentration	k ɔ́ n s ə n t r ɛ́j ʃ ə n
concept	k ɔ́ n s ɛ p t
concern	k ə n s ə́ː n
concerned	k ə n s ə́ː n d
concert	k ɔ́ n s ə t
concert	k ə n s ə́ː t
conclude	k ə n k l ʉ́w d
conclusion	k ə n k l ʉ́w ʒ ə n
condition	k ə n d ɪ́ ʃ ə n
conduct	k ɔ́ n d ʌ k t
conduct	k ə n d ʌ́ k t
conference	k ɔ́ n f ə r ə n s
confidence	k ɔ́ n f ɪ d ə n s
confident	k ɔ́ n f ɪ d ə n t
confirm	k ə n f ə́ː m
conflict	k ɔ́ n f l ɪ k t
conflict	k ə n f l ɪ́ k t
confuse	k ə n f j ʉ́w z
confused	k ə n f j ʉ́w z d
confusing	k ə n f j ʉ́w z ɪ ŋ
connect	k ə n ɛ́ k t
connected	k ə n ɛ́ k t ɪ d
connection	k ə n ɛ́ k ʃ ə n
conscious	k ɔ́ n ʃ ə s
consequence	k ɔ́ n s ɪ k w ə n s
conservative	k ə n s ə́ː v ə t ɪ v
consider	k ə n s ɪ́ d ə
consideration	k ə n s ɪ́ d ə r ɛ́j ʃ ə n
consist	k ə n s ɪ́ s t
consistent	k ə n s ɪ́ s t ə n t
constant	k ɔ́ n s t ə n t
constantly	k ɔ́ n s t ə n t l ɪj
construct	k ɔ́ n s t r ʌ k t
construct	k ə n s t r ʌ́ k t
construction	k ə n s t r ʌ́ k ʃ ə n
consume	k ə n s j ʉ́w m
consumer	k ə n s j ʉ́w m ə
contact	k ɔ́ n t a k t
contain	k ə n t ɛ́j n
container	k ə n t ɛ́j n ə
contemporary	k ə n t ɛ́ m p r ə r ɪj
content	k ɔ́ n t ɛ n t
content	k ə n t ɛ́ n t
contest	k ɔ́ n t ɛ s t
contest	k ə n t ɛ́ s t
context	k ɔ́ n t ɛ k s t
continent	k ɔ́ n t ɪ n ə n t
continue	k ə n t ɪ́ n j ʉw
continuous	k ə n t ɪ́ n j ʉw ə s
contract	k ɔ́ n t r a k t
contract	k ə n t r á k t
contrast	k ɔ́ n t r ɑː s t
contrast	k ə n t r ɑ́ː s t
contribute	k ə n t r ɪ́ b j ʉw t
contribution	k ɔ́ n t r ɪ b j ʉ́w ʃ ə n
control	k ə n t r ə́w l
convenient	k ə n v ɪ́j n ɪj ə n t
conversation	k ɔ́ n v ə s ɛ́j ʃ ə n
convert	k ɔ́ n v əː t
convert	k ə n v ə́ː t
convince	k ə n v ɪ́ n s
convinced	k ə n v ɪ́ n s t
cook	k ɵ́ k
cooker	k ɵ́ k ə
cooking	k ɵ́ k ɪ ŋ
cool	k ʉ́w l
copy	k ɔ́ p ɪj
core	k óː
corner	k óː n ə
corporate	k óː p ə r ə t
correct	k ə r ɛ́ k t
correctly	k ə r ɛ́ k t l ɪj
cost	k ɔ́ s t
costume	k ɔ́ s tʃ ʉw m
cottage	k ɔ́ t ɪ dʒ
cotton	k ɔ́ t ə n
could	k ɵ́ d
could	k ə d
council	k áw n s ə l
count	k áw n t
country	k ʌ́ n t r ɪj
countryside	k ʌ́ n t r ɪj s ɑj d
county	k áw n t ɪj
couple	k ʌ́ p ə l
courage	k ʌ́ r ɪ dʒ
course	k óː s
court	k óː t
cousin	k ʌ́ z ə n
cover	k ʌ́ v ə
covered	k ʌ́ v ə d
cow	k áw
crash	k r á ʃ
crazy	k r ɛ́j z ɪj
cream	k r ɪ́j m
create	k r ɪj ɛ́j t
creation	k r ɪj ɛ́j ʃ ə n
creative	k r ɪj ɛ́j t ɪ v
creature	k r ɪ́j tʃ ə
credit	k r ɛ́ d ɪ t
crew	k r ʉ́w
crime	k r ɑ́j m
criminal	k r ɪ́ m ɪ n ə l
crisis	k r ɑ́j s ɪ s
criterion	k r ɑj t ɪ́ː r ɪj ə n
critic	k r ɪ́ t ɪ k
critical	k r ɪ́ t ɪ k ə l
criticism	k r ɪ́ t ɪ s ɪ z ə m
criticize	k r ɪ́ t ɪ s ɑj z
crop	k r ɔ́ p
cross	k r ɔ́ s
crowd	k r áw d
crowded	k r áw d ɪ d
crucial	k r ʉ́w ʃ ə l
cruel	k r ʉ́w ə l
cry	k r ɑ́j
cultural	k ʌ́ l tʃ ə r ə l
culture	k ʌ́ l tʃ ə
cup	k ʌ́ p
cupboard	k ʌ́ b ə d
cure	k j óː
curly	k ə́ː l ɪj
currency	k ʌ́ r ə n s ɪj
current	k ʌ́ r ə n t
currently	k ʌ́ r ə n t l ɪj
curtain	k ə́ː t ə n
curve	k ə́ː v
curved	k ə́ː v d
custom	k ʌ́ s t ə m
customer	k ʌ́ s t ə m ə
cut	k ʌ́ t
cycle	s ɑ́j k ə l
dad	d á d
daily	d ɛ́j l ɪj
damage	d á m ɪ dʒ
dance	d ɑ́ː n s
dancer	d ɑ́ː n s ə
dancing	d ɑ́ː n s ɪ ŋ
danger	d ɛ́j n dʒ ə
dangerous	d ɛ́j n dʒ ə r ə s
dark	d ɑ́ː k
data	d ɛ́j t ə
date	d ɛ́j t
daughter	d óː t ə
day	d ɛ́j
dead	d ɛ́ d
deal	d ɪ́j l
dear	d ɪ́ː
death	d ɛ́ θ
debate	d ə b ɛ́j t
debt	d ɛ́ t
decade	d ɛ́ k ɛj d
December	d ɪ s ɛ́ m b ə
decent	d ɪ́j s ə n t
decide	d ə s ɑ́j d
decision	d ɪ s ɪ́ ʒ ə n
declare	d ə k l ɛ́ː
decline	d ə k l ɑ́j n
decorate	d ɛ́ k ə r ɛj t
decoration	d ɛ́ k ə r ɛ́j ʃ ə n
decrease	d ɪ́j k r ɪj s
decrease	d ə k r ɪ́j s
deep	d ɪ́j p
deeply	d ɪ́j p l ɪj
defeat	d ə f ɪ́j t
defence	d ə f ɛ́ n s
defend	d ə f ɛ́ n d
define	d ə f ɑ́j n
definite	d ɛ́ f ɪ n ə t
definitely	d ɛ́ f ɪ n ə t l ɪj
definition	d ɛ́ f ɪ n ɪ́ ʃ ə n
degree	d ə g r ɪ́j
delay	d ə l ɛ́j
deliberate	d ə l ɪ́ b ə r ɛj t
deliberate	d ə l ɪ́ b ə r ə t
deliberately	d ə l ɪ́ b ə r ə t l ɪj
delicious	d ə l ɪ́ ʃ ə s
delight	d ə l ɑ́j t
delighted	d ə l ɑ́j t ɪ d
deliver	d ə l ɪ́ v ə
delivery	d ə l ɪ́ v ə r ɪj
demand	d ə m ɑ́ː n d
demonstrate	d ɛ́ m ə n s t r ɛj t
dentist	d ɛ́ n t ɪ s t
deny	d ə n ɑ́j
department	d ə p ɑ́ː t m ə n t
departure	d ə p ɑ́ː tʃ ə
depend	d ə p ɛ́ n d
depressed	d ə p r ɛ́ s t
depressing	d ə p r ɛ́ s ɪ ŋ
depth	d ɛ́ p θ
describe	d ə s k r ɑ́j b
description	d ə s k r ɪ́ p ʃ ə n
desert	d ɛ́ z ə t
desert	d ə z ə́ː t
deserve	d ə z ə́ː v
design	d ə z ɑ́j n
designer	d ə z ɑ́j n ə
desire	d ə z ɑ́j ə
desk	d ɛ́ s k
desperate	d ɛ́ s p r ə t
despite	d ə s p ɑ́j t
destination	d ɛ́ s t ɪ n ɛ́j ʃ ə n
destroy	d ə s t r ój
detail	d ɪ́j t ɛj l
detailed	d ɪ́j t ɛj l d
detect	d ə t ɛ́ k t
detective	d ə t ɛ́ k t ɪ v
determine	d ə t ə́ː m ə n
determined	d ə t ə́ː m ə n d
develop	d ə v ɛ́ l ə p
development	d ə v ɛ́ l ə p m ə n t
device	d ə v ɑ́j s
diagram	d ɑ́j ə g r a m
dialogue	d ɑ́j ə l ɔ g
diamond	d ɑ́j ə m ə n d
diary	d ɑ́j ə r ɪj
dictionary	d ɪ́ k ʃ ə n r ɪj
die	d ɑ́j
diet	d ɑ́j ə t
difference	d ɪ́ f r ə n s
different	d ɪ́ f r ə n t
differently	d ɪ́ f r ə n t l ɪj
difficult	d ɪ́ f ɪ k ə l t
difficulty	d ɪ́ f ɪ k ə l t ɪj
dig	d ɪ́ g
digital	d ɪ́ dʒ ɪ t ə l
dinner	d ɪ́ n ə
direct	d ɑj r ɛ́ k t
direction	d ɑj r ɛ́ k ʃ ə n
directly	d ɑj r ɛ́ k t l ɪj
director	d ɑj r ɛ́ k t ə
dirt	d ə́ː t
dirty	d ə́ː t ɪj
disadvantage	d ɪ́ s ə d v ɑ́ː n t ɪ dʒ
disagree	d ɪ́ s ə g r ɪ́j
disappear	d ɪ́ s ə p ɪ́ː
disappointed	d ɪ́ s ə p ój n t ɪ d
disappointing	d ɪ́ s ə p ój n t ɪ ŋ
disaster	d ɪ z ɑ́ː s t ə
disc	d ɪ́ s k
discipline	d ɪ́ s ə p l ɪ n
discount	d ɪ s k áw n t
discount	d ɪ́ s k aw n t
discover	d ɪ s k ʌ́ v ə
discovery	d ɪ s k ʌ́ v ə r ɪj
discuss	d ɪ s k ʌ́ s
discussion	d ɪ s k ʌ́ ʃ ə n
disease	d ɪ z ɪ́j z
dish	d ɪ́ ʃ
dishonest	d ɪ s ɔ́ n ɪ s t
disk	d ɪ́ s k
dislike	d ɪ s l ɑ́j k
dismiss	d ɪ s m ɪ́ s
display	d ɪ s p l ɛ́j
distance	d ɪ́ s t ə n s
distribute	d ɪ s t r ɪ́ b j ʉw t
distribution	d ɪ́ s t r ɪ b j ʉ́w ʃ ə n
district	d ɪ́ s t r ɪ k t
divide	d ɪ v ɑ́j d
division	d ɪ v ɪ́ ʒ ə n
divorced	d ɪ v óː s t
do	d ʉ́w
do	d ə
do	d ə́w
doctor	d ɔ́ k t ə
document	d ɔ́ k j ə m ɛ n t
document	d ɔ́ k j ə m ə n t
documentary	d ɔ́ k j ə m ɛ́ n t r ɪj
dog	d ɔ́ g
dollar	d ɔ́ l ə
domestic	d ə m ɛ́ s t ɪ k
dominate	d ɔ́ m ɪ n ɛj t
donate	d əw n ɛ́j t
door	d óː
double	d ʌ́ b ə l
doubt	d áw t
down	d áw n
download	d áw n l ə́w d
download	d áw n l əw d
downstairs	d áw n s t ɛ́ː z
downwards	d áw n w ə d z
dozen	d ʌ́ z ə n
draft	d r ɑ́ː f t
drag	d r á g
drama	d r ɑ́ː m ə
dramatic	d r ə m á t ɪ k
draw	d r óː
drawing	d r óː r ɪ ŋ
dream	d r ɪ́j m
dress	d r ɛ́ s
dressed	d r ɛ́ s t
drink	d r ɪ́ ŋ k
drive	d r ɑ́j v
driver	d r ɑ́j v ə
driving	d r ɑ́j v ɪ ŋ
drop	d r ɔ́ p
drug	d r ʌ́ g
drum	d r ʌ́ m
drunk	d r ʌ́ ŋ k
dry	d r ɑ́j
due	dʒ ʉ́w
during	dʒ ɵ́ː r ɪ ŋ
dust	d ʌ́ s t
duty	dʒ ʉ́w t ɪj
DVD	d ɪ́j v ɪj d ɪ́j
each	ɪ́j tʃ
ear	ɪ́ː
early	ə́ː l ɪj
earn	ə́ː n
earth	ə́ː θ
earthquake	ə́ː θ k w ɛj k
easily	ɪ́j z ɪ l ɪj
east	ɪ́j s t
eastern	ɪ́j s t ə n
easy	ɪ́j z ɪj
eat	ɪ́j t
economic	ɪ́j k ə n ɔ́ m ɪ k
